industry,count
Staffing & Recruiting,2007
Information Technology & Services,1528
Hospital & Health Care,1037
Computer Software,754
Retail,704
Financial Services,391
Transportation/Trucking/Railroad,271
Construction,256
Real Estate,251
Insurance,226
Management Consulting,209
Non-profit Organization Management,188
Internet,183
Higher Education,173
Publishing,165
Human Resources,146
Automotive,145
Hospitality,144
Restaurants,126
Banking,121
Mechanical Or Industrial Engineering,118
Consumer Goods,117
Telecommunications,117
Environmental Services,114
Accounting,112
Food & Beverages,111
Biotechnology,108
Utilities,105
Medical Device,100
Pharmaceuticals,99
Food Production,93
Civil Engineering,90
Marketing & Advertising,89
Government Administration,83
Electrical & Electronic Manufacturing,83
Building Materials,81
Oil & Energy,78
Law Practice,74
Apparel & Fashion,72
Chemicals,67
Semiconductors,67
Individual & Family Services,66
Entertainment,57
"Health, Wellness & Fitness",55
Defense & Space,53
Wholesale,51
Mental Health Care,50
Education Management,50
Research,49
Packaging & Containers,48
Aviation & Aerospace,47
Security & Investigations,45
Machinery,45
Design,41
Computer & Network Security,38
Architecture & Planning,36
Consumer Services,36
Renewables & Environment,35
Broadcast Media,32
Consumer Electronics,31
Supermarkets,28
Luxury Goods & Jewelry,27
Mining & Metals,27
International Trade & Development,26
Public Relations & Communications,24
Facilities Services,22
Furniture,19
Media Production,17
Industrial Automation,17
"Leisure, Travel & Tourism",17
Information Services,16
Outsourcing/Offshoring,14
Paper & Forest Products,14
Public Safety,13
Cosmetics,12
Plastics,11
Airlines/Aviation,11
E-learning,10
Museums & Institutions,10
Computer Games,9
Events Services,9
Civic & Social Organization,9
Printing,9
Music,9
Sporting Goods,8
Sports,7
Logistics & Supply Chain,6
Legal Services,6
Professional Training & Coaching,6
Law Enforcement,6
Primary/Secondary Education,6
Medical Practice,5
Wine & Spirits,5
Computer Hardware,5
Business Supplies & Equipment,4
Shipbuilding,4
Government Relations,4
Textiles,4
"Glass, Ceramics & Concrete",4
Farming,4
Venture Capital & Private Equity,4
Public Policy,3
Military,3
Performing Arts,2
Newspapers,2
Package/Freight Delivery,2
International Affairs,2
Religious Institutions,2
Market Research,2
Translation & Localization,2
Political Organization,2
Online Media,2
Veterinary,2
Think Tanks,2
Recreational Facilities & Services,2
Investment Banking,2
Commercial Real Estate,2
Writing & Editing,2
Philanthropy,1
Tobacco,1
Judiciary,1
Maritime,1
Fine Art,1
Fundraising,1
Investment Management,1
Capital Markets,1
Import & Export,1
Animation,1
Graphic Design,1
Photography,1
Alternative Medicine,1
Gambling & Casinos,1
Wireless,1
